id,report_text,sif_potential,confidence,life_saving_rule,activity,location,barrier_failure,site
1001,"Worker had a hard hat resting on a desk instead of worn, in a low-risk zone.",False,0.79,None,General Duty,Break Room,"Minor PPE non-compliance, low risk context",Site A
1002,Minor rust was observed on a non-critical handrail near loading bay.,False,0.94,None,General Observation,Workshop,No significant barrier failure identified,Refinery Unit 2
1003,"During a motor replacement, the stored mechanical energy was not locked out before work began on hydraulic press.",True,0.87,Energy Isolation,Maintenance,Pump House,Energy source not verified as zero,Drilling Pad 7
1004,A minor ergonomic complaint was raised regarding the chair setup in the reception desk.,False,0.86,None,Office Work,Office,"Minor office hazard, no corrective barrier failure",Site B
1005,Worker began valve inspection on compressor before applying lockout/tagout.,True,0.83,Energy Isolation,Maintenance,Motor Room,Lock/tag missing on isolation point,Terminal 1
1006,Tools were left scattered on the workbench in the workshop exit.,False,0.84,None,Housekeeping,Break Room,Minor housekeeping lapse,Terminal 1
1007,"During inspection, Contractor entered sewer chamber without a standby attendant present.",True,0.89,Confined Space,Inspection,Tank Area,No standby attendant assigned,Site C
1008,A worker noted a loose drain cover near the parking area.,False,0.81,None,General Observation,Workshop,No significant barrier failure identified,Site A
1009,Contractor walked into the pinch point area during a lifting operation without warning others.,True,0.95,Line of Fire,Material Handling,Construction Site,Barricades not in place,Terminal 1
1010,Driver of a light vehicle was not wearing a seatbelt during transit.,True,0.87,Driving/Transportation,Site Driving,Site Access Road,Banksman not used for reversing,Refinery Unit 2
1011,Worker was seen without a hi-vis vest inside the admin building.,False,0.89,None,Admin Task,Admin Building,"Minor PPE non-compliance, low risk context",Refinery Unit 2
1012,Scaffolder worked on scaffolding without wearing a fall arrest harness.,True,0.84,Working at Height,Maintenance,Pipe Rack Area,Anchor point not secured,Terminal 1
1013,Grinding was carried out close to combustible material without gas testing beforehand.,True,0.88,Hot Work,Hot Work,Fabrication Yard,Fire watch not assigned,Site B
1014,Grinding was carried out close to process piping containing hydrocarbons without gas testing beforehand.,True,0.92,Hot Work,Repair,Fabrication Yard,Fire watch not assigned,Terminal 1
1015,"A minor paint stain was observed on the workshop floor, no slip occurred.",False,0.81,None,General Observation,Workshop,No significant barrier failure identified,Site A
1016,"During inspection, Technician entered underground pit without a standby attendant present.",True,0.95,Confined Space,Cleaning,Storage Farm,Confined space permit not followed,Site A
1017,Employee exceeded the site speed limit while operating a heavy truck.,True,0.82,Driving/Transportation,Material Transport,Loading Bay,Speed limit exceeded,Terminal 1
1018,Grinding was carried out close to an open fuel line without gas testing beforehand.,True,0.83,Hot Work,Fabrication,Fabrication Yard,Flammable materials not cleared from area,Site C
1019,Visitor was found with sleeves rolled up in a low-hazard area.,False,0.85,None,Admin Task,Break Room,"Minor PPE non-compliance, low risk context",Drilling Pad 7
1020,Worker began a motor replacement on pump before applying lockout/tagout.,True,0.91,Energy Isolation,Maintenance,Pump House,Lock/tag missing on isolation point,Site A
1021,A charging cable was found trailing across an office walkway.,False,0.93,None,Office Work,Admin Building,"Minor office hazard, no corrective barrier failure",Drilling Pad 7
1022,"During cleaning, Contractor entered storage tank without a standby attendant present.",True,0.96,Confined Space,Inspection,Tank Area,Confined space permit not followed,Terminal 1
